Sample	Genome	Mean	Trimmed Mean	Covered Bases	Variance	Length	Count	Reads_per_base	RPKM	TPM
1003-01_10	Consensus_1	0	0	0	0	691	0	0	0	0
1003-01_10	Consensus_2	0	0	0	0	710	0	0	0	0
1003-01_10	Consensus_3	0	0	0	0	744	0	0	0	0
1003-01_10	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0
1003-01_10	Consensus_4	0	0	0	0	764	0	0	0	0
1003-01_10	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0
1003-01_10	Consensus_5	0	0	0	0	728	0	0	0	0
1003-01_10	Consensus_6	0	0	0	0	745	0	0	0	0
1003-01_10	Consensus_7	0	0	0	0	716	0	0	0	0
1003-01_10	Consensus_8	0	0	0	0	700	0	0	0	0
1003-01_10	Consensus_9	0	0	0	0	825	0	0	0	0
1003-01_10	Consensus_10	0	0	0	0	796	0	0	0	0
1003-01_11	Consensus_1	0	0	0	0	691	0	0	0	0
1003-01_11	Consensus_2	0	0	0	0	710	0	0	0	0
1003-01_11	Consensus_3	0	0	0	0	744	0	0	0	0
1003-01_11	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0
1003-01_11	Consensus_4	0	0	0	0	764	0	0	0	0
1003-01_11	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0
1003-01_11	Consensus_5	0	0	0	0	728	0	0	0	0
1003-01_11	Consensus_6	0	0	0	0	745	0	0	0	0
1003-01_11	Consensus_7	0	0	0	0	716	0	0	0	0
1003-01_11	Consensus_8	0	0	0	0	700	0	0	0	0
1003-01_11	Consensus_9	0	0	0	0	825	0	0	0	0
1003-01_11	Consensus_10	0	0	0	0	796	0	0	0	0
1003-01_12	Consensus_1	0	0	0	0	691	0	0	0	0
1003-01_12	Consensus_2	4.1892858	3.9444444	472	16.568758	710	18	0.025352113	1408450.6	1000000
1003-01_12	Consensus_3	0	0	0	0	744	0	0	0	0
1003-01_12	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0
1003-01_12	Consensus_4	0	0	0	0	764	0	0	0	0
1003-01_12	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0
1003-01_12	Consensus_5	0	0	0	0	728	0	0	0	0
1003-01_12	Consensus_6	0	0	0	0	745	0	0	0	0
1003-01_12	Consensus_7	0	0	0	0	716	0	0	0	0
1003-01_12	Consensus_8	0	0	0	0	700	0	0	0	0
1003-01_12	Consensus_9	0	0	0	0	825	0	0	0	0
1003-01_12	Consensus_10	0	0	0	0	796	0	0	0	0
1003-01_13	Consensus_1	0	0	0	0	691	0	0	0	0
1003-01_13	Consensus_2	12.473214	12.359127	512	70.392845	710	59	0.08309859	1408450.8	1000000
1003-01_13	Consensus_3	0	0	0	0	744	0	0	0	0
1003-01_13	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0
1003-01_13	Consensus_4	0	0	0	0	764	0	0	0	0
1003-01_13	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0
1003-01_13	Consensus_5	0	0	0	0	728	0	0	0	0
1003-01_13	Consensus_6	0	0	0	0	745	0	0	0	0
1003-01_13	Consensus_7	0	0	0	0	716	0	0	0	0
1003-01_13	Consensus_8	0	0	0	0	700	0	0	0	0
1003-01_13	Consensus_9	0	0	0	0	825	0	0	0	0
1003-01_13	Consensus_10	0	0	0	0	796	0	0	0	0
1003-01_14	Consensus_1	0	0	0	0	691	0	0	0	0
1003-01_14	Consensus_2	1.6767857	1.6031746	497	1.6609985	710	8	0.011267605	1408450.8	1000000
1003-01_14	Consensus_3	0	0	0	0	744	0	0	0	0
1003-01_14	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0
1003-01_14	Consensus_4	0	0	0	0	764	0	0	0	0
1003-01_14	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0
1003-01_14	Consensus_5	0	0	0	0	728	0	0	0	0
1003-01_14	Consensus_6	0	0	0	0	745	0	0	0	0
1003-01_14	Consensus_7	0	0	0	0	716	0	0	0	0
1003-01_14	Consensus_8	0	0	0	0	700	0	0	0	0
1003-01_14	Consensus_9	0	0	0	0	825	0	0	0	0
1003-01_14	Consensus_10	0	0	0	0	796	0	0	0	0
1003-01_15	Consensus_1	0	0	0	0	691	0	0	0	0
1003-01_15	Consensus_2	35.17143	35.31746	559	508.55734	710	171	0.24084507	1408450.8	1000000
1003-01_15	Consensus_3	0	0	0	0	744	0	0	0	0
1003-01_15	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0
1003-01_15	Consensus_4	0	0	0	0	764	0	0	0	0
1003-01_15	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0
1003-01_15	Consensus_5	0	0	0	0	728	0	0	0	0
1003-01_15	Consensus_6	0	0	0	0	745	0	0	0	0
1003-01_15	Consensus_7	0	0	0	0	716	0	0	0	0
1003-01_15	Consensus_8	0	0	0	0	700	0	0	0	0
1003-01_15	Consensus_9	0	0	0	0	825	0	0	0	0
1003-01_15	Consensus_10	0	0	0	0	796	0	0	0	0
1003-01_16	Consensus_1	0	0	0	0	691	0	0	0	0
1003-01_16	Consensus_2	26.807142	26.757936	561	284.10223	710	124	0.17464788	1408450.8	1000000
1003-01_16	Consensus_3	0	0	0	0	744	0	0	0	0
1003-01_16	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0
1003-01_16	Consensus_4	0	0	0	0	764	0	0	0	0
1003-01_16	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0
1003-01_16	Consensus_5	0	0	0	0	728	0	0	0	0
1003-01_16	Consensus_6	0	0	0	0	745	0	0	0	0
1003-01_16	Consensus_7	0	0	0	0	716	0	0	0	0
1003-01_16	Consensus_8	0	0	0	0	700	0	0	0	0
1003-01_16	Consensus_9	0	0	0	0	825	0	0	0	0
1003-01_16	Consensus_10	0	0	0	0	796	0	0	0	0
1003-01_17	Consensus_1	0	0	0	0	691	0	0	0	0
1003-01_17	Consensus_2	19.5625	19.640873	549	127.02292	710	92	0.12957746	1408450.8	1000000
1003-01_17	Consensus_3	0	0	0	0	744	0	0	0	0
1003-01_17	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0
1003-01_17	Consensus_4	0	0	0	0	764	0	0	0	0
1003-01_17	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0
1003-01_17	Consensus_5	0	0	0	0	728	0	0	0	0
1003-01_17	Consensus_6	0	0	0	0	745	0	0	0	0
1003-01_17	Consensus_7	0	0	0	0	716	0	0	0	0
1003-01_17	Consensus_8	0	0	0	0	700	0	0	0	0
1003-01_17	Consensus_9	0	0	0	0	825	0	0	0	0
1003-01_17	Consensus_10	0	0	0	0	796	0	0	0	0
1003-01_18	Consensus_1	0	0	0	0	691	0	0	0	0
1003-01_18	Consensus_2	20.301786	20.402779	560	137.72809	710	99	0.13943662	1408450.8	1000000
1003-01_18	Consensus_3	0	0	0	0	744	0	0	0	0
1003-01_18	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0
1003-01_18	Consensus_4	0	0	0	0	764	0	0	0	0
1003-01_18	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0
1003-01_18	Consensus_5	0	0	0	0	728	0	0	0	0
1003-01_18	Consensus_6	0	0	0	0	745	0	0	0	0
1003-01_18	Consensus_7	0	0	0	0	716	0	0	0	0
1003-01_18	Consensus_8	0	0	0	0	700	0	0	0	0
1003-01_18	Consensus_9	0	0	0	0	825	0	0	0	0
1003-01_18	Consensus_10	0	0	0	0	796	0	0	0	0
1003-01_19	Consensus_1	0	0	0	0	691	0	0	0	0
1003-01_19	Consensus_2	53.580357	54.275795	561	913.68585	710	262	0.36901408	1408450.6	1000000
1003-01_19	Consensus_3	0	0	0	0	744	0	0	0	0
1003-01_19	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0
1003-01_19	Consensus_4	0	0	0	0	764	0	0	0	0
1003-01_19	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0
1003-01_19	Consensus_5	0	0	0	0	728	0	0	0	0
1003-01_19	Consensus_6	0	0	0	0	745	0	0	0	0
1003-01_19	Consensus_7	0	0	0	0	716	0	0	0	0
1003-01_19	Consensus_8	0	0	0	0	700	0	0	0	0
1003-01_19	Consensus_9	0	0	0	0	825	0	0	0	0
1003-01_19	Consensus_10	0	0	0	0	796	0	0	0	0
1003-01_2	Consensus_1	0	0	0	0	691	0	0	0	0
1003-01_2	Consensus_2	0	0	0	0	710	0	0	0	0
1003-01_2	Consensus_3	0	0	0	0	744	0	0	0	0
1003-01_2	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0
1003-01_2	Consensus_4	0	0	0	0	764	0	0	0	0
1003-01_2	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0
1003-01_2	Consensus_5	0	0	0	0	728	0	0	0	0
1003-01_2	Consensus_6	0	0	0	0	745	0	0	0	0
1003-01_2	Consensus_7	0	0	0	0	716	0	0	0	0
1003-01_2	Consensus_8	0	0	0	0	700	0	0	0	0
1003-01_2	Consensus_9	0	0	0	0	825	0	0	0	0
1003-01_2	Consensus_10	0	0	0	0	796	0	0	0	0
1003-01_20	Consensus_1	0	0	0	0	691	0	0	0	0
1003-01_20	Consensus_2	44.728573	44.890873	564	656.3985	710	214	0.30140844	1408450.8	1000000
1003-01_20	Consensus_3	0	0	0	0	744	0	0	0	0
1003-01_20	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0
1003-01_20	Consensus_4	0	0	0	0	764	0	0	0	0
1003-01_20	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0
1003-01_20	Consensus_5	0	0	0	0	728	0	0	0	0
1003-01_20	Consensus_6	0	0	0	0	745	0	0	0	0
1003-01_20	Consensus_7	0	0	0	0	716	0	0	0	0
1003-01_20	Consensus_8	0	0	0	0	700	0	0	0	0
1003-01_20	Consensus_9	0	0	0	0	825	0	0	0	0
1003-01_20	Consensus_10	0	0	0	0	796	0	0	0	0
1003-01_21	Consensus_1	0	0	0	0	691	0	0	0	0
1003-01_21	Consensus_2	28.357143	28.303572	561	311.30334	710	130	0.18309858	1408450.8	1000000
1003-01_21	Consensus_3	0	0	0	0	744	0	0	0	0
1003-01_21	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0
1003-01_21	Consensus_4	0	0	0	0	764	0	0	0	0
1003-01_21	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0
1003-01_21	Consensus_5	0	0	0	0	728	0	0	0	0
1003-01_21	Consensus_6	0	0	0	0	745	0	0	0	0
1003-01_21	Consensus_7	0	0	0	0	716	0	0	0	0
1003-01_21	Consensus_8	0	0	0	0	700	0	0	0	0
1003-01_21	Consensus_9	0	0	0	0	825	0	0	0	0
1003-01_21	Consensus_10	0	0	0	0	796	0	0	0	0
1003-01_22	Consensus_1	0	0	0	0	691	0	0	0	0
1003-01_22	Consensus_2	63.07857	63.365078	566	1407.3533	710	304	0.428169	1408450.8	1000000
1003-01_22	Consensus_3	0	0	0	0	744	0	0	0	0
1003-01_22	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0
1003-01_22	Consensus_4	0	0	0	0	764	0	0	0	0
1003-01_22	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0
1003-01_22	Consensus_5	0	0	0	0	728	0	0	0	0
1003-01_22	Consensus_6	0	0	0	0	745	0	0	0	0
1003-01_22	Consensus_7	0	0	0	0	716	0	0	0	0
1003-01_22	Consensus_8	0	0	0	0	700	0	0	0	0
1003-01_22	Consensus_9	0	0	0	0	825	0	0	0	0
1003-01_22	Consensus_10	0	0	0	0	796	0	0	0	0
1003-01_23	Consensus_1	0	0	0	0	691	0	0	0	0
1003-01_23	Consensus_2	35.773212	36.073414	566	390.6801	710	167	0.23521127	1408450.6	1000000
1003-01_23	Consensus_3	0	0	0	0	744	0	0	0	0
1003-01_23	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0
1003-01_23	Consensus_4	0	0	0	0	764	0	0	0	0
1003-01_23	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0
1003-01_23	Consensus_5	0	0	0	0	728	0	0	0	0
1003-01_23	Consensus_6	0	0	0	0	745	0	0	0	0
1003-01_23	Consensus_7	0	0	0	0	716	0	0	0	0
1003-01_23	Consensus_8	0	0	0	0	700	0	0	0	0
1003-01_23	Consensus_9	0	0	0	0	825	0	0	0	0
1003-01_23	Consensus_10	0	0	0	0	796	0	0	0	0
1003-01_24	Consensus_1	0	0	0	0	691	0	0	0	0
1003-01_24	Consensus_2	15.905357	16.164682	561	69.19138	710	76	0.10704225	1408450.8	1000000
1003-01_24	Consensus_3	0	0	0	0	744	0	0	0	0
1003-01_24	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0
1003-01_24	Consensus_4	0	0	0	0	764	0	0	0	0
1003-01_24	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0
1003-01_24	Consensus_5	0	0	0	0	728	0	0	0	0
1003-01_24	Consensus_6	0	0	0	0	745	0	0	0	0
1003-01_24	Consensus_7	0	0	0	0	716	0	0	0	0
1003-01_24	Consensus_8	0	0	0	0	700	0	0	0	0
1003-01_24	Consensus_9	0	0	0	0	825	0	0	0	0
1003-01_24	Consensus_10	0	0	0	0	796	0	0	0	0
1003-01_25	Consensus_1	0	0	0	0	691	0	0	0	0
1003-01_25	Consensus_2	6.2464285	6.172619	558	19.227177	710	30	0.04225352	1408450.8	1000000
1003-01_25	Consensus_3	0	0	0	0	744	0	0	0	0
1003-01_25	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0
1003-01_25	Consensus_4	0	0	0	0	764	0	0	0	0
1003-01_25	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0
1003-01_25	Consensus_5	0	0	0	0	728	0	0	0	0
1003-01_25	Consensus_6	0	0	0	0	745	0	0	0	0
1003-01_25	Consensus_7	0	0	0	0	716	0	0	0	0
1003-01_25	Consensus_8	0	0	0	0	700	0	0	0	0
1003-01_25	Consensus_9	0	0	0	0	825	0	0	0	0
1003-01_25	Consensus_10	0	0	0	0	796	0	0	0	0
1003-01_26	Consensus_1	0	0	0	0	691	0	0	0	0
1003-01_26	Consensus_2	0	0	0	0	710	0	0	0	0
1003-01_26	Consensus_3	0	0	0	0	744	0	0	0	0
1003-01_26	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0
1003-01_26	Consensus_4	0	0	0	0	764	0	0	0	0
1003-01_26	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0
1003-01_26	Consensus_5	0	0	0	0	728	0	0	0	0
1003-01_26	Consensus_6	0	0	0	0	745	0	0	0	0
1003-01_26	Consensus_7	0	0	0	0	716	0	0	0	0
1003-01_26	Consensus_8	0	0	0	0	700	0	0	0	0
1003-01_26	Consensus_9	0	0	0	0	825	0	0	0	0
1003-01_26	Consensus_10	0	0	0	0	796	0	0	0	0
1003-01_27	Consensus_1	0	0	0	0	691	0	0	0	0
1003-01_27	Consensus_2	0	0	0	0	710	0	0	0	0
1003-01_27	Consensus_3	0	0	0	0	744	0	0	0	0
1003-01_27	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0
1003-01_27	Consensus_4	0	0	0	0	764	0	0	0	0
1003-01_27	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0
1003-01_27	Consensus_5	0	0	0	0	728	0	0	0	0
