Sample	Genome	Mean	Trimmed Mean	Covered Bases	Variance	Length	Count	Reads_per_base	RPKM	TPM
S1C1003_01724_vs01_168_1003-01_26	S1C1003_01724_vs01_168	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_163_1003-01_26	S1C1003_01724_vs01_163	0	0	0	0	717	0	0	0	0
S1C1003_01724_vs01_68_1003-01_26	S1C1003_01724_vs01_68	0	0	0	0	714	0	0	0	0
S1C1003_01336_vs01_36_1003-01_26	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_26	S1C1003_011133_vs01_15	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_168_1003-01_8	S1C1003_01724_vs01_168	0.19786096	0.16633664	173	0.1589954	711	3	0.004219409	1406469.9	1000000
S1C1003_01724_vs01_163_1003-01_8	S1C1003_01724_vs01_163	0	0	0	0	717	0	0	0	0
S1C1003_01724_vs01_68_1003-01_8	S1C1003_01724_vs01_68	0.96631205	0.9133858	403	0.881634	714	7	0.009803922	1400560.3	1000000
S1C1003_01336_vs01_36_1003-01_8	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_8	S1C1003_011133_vs01_15	0.73083776	0.7049505	366	0.5756366	711	5	0.007032349	1406469.8	1000000
S1C1003_01724_vs01_168_1003-01_25	S1C1003_01724_vs01_168	0.3885918	0.32475248	144	0.6272982	711	2	0.0028129395	1406469.8	1000000
S1C1003_01724_vs01_163_1003-01_25	S1C1003_01724_vs01_163	0.7760141	0.7553816	295	0.68649083	717	3	0.0041841003	1394700.1	1000000
S1C1003_01724_vs01_68_1003-01_25	S1C1003_01724_vs01_68	1.4503546	1.3976378	368	1.8785257	714	6	0.008403362	1400560.1	1000000
S1C1003_01336_vs01_36_1003-01_25	S1C1003_01336_vs01_36	10.270175	10.252918	701	34.77398	720	49	0.068055555	1388889	1000000
S1C1003_011133_vs01_15_1003-01_25	S1C1003_011133_vs01_15	0.3885918	0.32475248	144	0.6272982	711	2	0.0028129395	1406469.8	1000000
S1C1003_01724_vs01_168_1003-01_22	S1C1003_01724_vs01_168	1.5561497	1.4613861	359	3.2080023	711	6	0.008438818	1406469.9	1000000
S1C1003_01724_vs01_163_1003-01_22	S1C1003_01724_vs01_163	1.4215168	1.3659492	401	1.4916209	717	7	0.009762901	1394700.1	1000000
