Sample	Genome	Mean	Trimmed Mean	Covered Bases	Variance	Length	Count	Reads_per_base	RPKM	TPM
S1C1003_01724_vs01_168_1003-01_35	S1C1003_01724_vs01_168	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_68_1003-01_35	S1C1003_01724_vs01_68	0	0	0	0	714	0	0	0	0
S1C1003_01724_vs01_163_1003-01_35	S1C1003_01724_vs01_163	0	0	0	0	717	0	0	0	0
S1C1003_01336_vs01_36_1003-01_35	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_35	S1C1003_011133_vs01_15	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_168_1003-01_3	S1C1003_01724_vs01_168	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_68_1003-01_3	S1C1003_01724_vs01_68	0	0	0	0	714	0	0	0	0
S1C1003_01724_vs01_163_1003-01_3	S1C1003_01724_vs01_163	0	0	0	0	717	0	0	0	0
S1C1003_01336_vs01_36_1003-01_3	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_3	S1C1003_011133_vs01_15	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_168_1003-01_34	S1C1003_01724_vs01_168	3.368984	2.940594	151	39.25468	711	15	0.021097047	1406469.9	1000000
S1C1003_01724_vs01_68_1003-01_34	S1C1003_01724_vs01_68	0	0	0	0	714	0	0	0	0
S1C1003_01724_vs01_163_1003-01_34	S1C1003_01724_vs01_163	0	0	0	0	717	0	0	0	0
S1C1003_01336_vs01_36_1003-01_34	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_34	S1C1003_011133_vs01_15	3.4812834	3.180198	276	15.839381	711	13	0.018284107	1406469.8	1000000
S1C1003_01724_vs01_168_1003-01_32	S1C1003_01724_vs01_168	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_68_1003-01_32	S1C1003_01724_vs01_68	0	0	0	0	714	0	0	0	0
S1C1003_01724_vs01_163_1003-01_32	S1C1003_01724_vs01_163	0	0	0	0	717	0	0	0	0
S1C1003_01336_vs01_36_1003-01_32	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_32	S1C1003_011133_vs01_15	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_168_1003-01_29	S1C1003_01724_vs01_168	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_68_1003-01_29	S1C1003_01724_vs01_68	0	0	0	0	714	0	0	0	0
S1C1003_01724_vs01_163_1003-01_29	S1C1003_01724_vs01_163	0	0	0	0	717	0	0	0	0
S1C1003_01336_vs01_36_1003-01_29	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_29	S1C1003_011133_vs01_15	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_168_1003-01_42	S1C1003_01724_vs01_168	0.66488415	0.6316832	315	0.69821113	711	3	0.004219409	1406469.9	1000000
S1C1003_01724_vs01_68_1003-01_42	S1C1003_01724_vs01_68	0.12588653	0.08661418	146	0.11023456	714	1	0.0014005603	1400560.3	1000000
S1C1003_01724_vs01_163_1003-01_42	S1C1003_01724_vs01_163	0	0	0	0	717	0	0	0	0
S1C1003_01336_vs01_36_1003-01_42	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_42	S1C1003_011133_vs01_15	3.7664883	3.7049506	702	2.6864467	711	15	0.021097047	1406469.9	1000000
S1C1003_01724_vs01_168_1003-01_43	S1C1003_01724_vs01_168	1.0766488	0.9821782	151	3.153043	711	4	0.005625879	1406469.8	1000000
S1C1003_01724_vs01_68_1003-01_43	S1C1003_01724_vs01_68	1.070922	0.97637796	169	2.886613	714	4	0.005602241	1400560.3	1000000
S1C1003_01724_vs01_163_1003-01_43	S1C1003_01724_vs01_163	1.0652558	0.9706458	151	3.1317763	717	4	0.0055788006	1394700.1	1000000
S1C1003_01336_vs01_36_1003-01_43	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_43	S1C1003_011133_vs01_15	5.383244	5.318812	319	25.63679	711	20	0.028129395	1406469.8	1000000
S1C1003_01724_vs01_168_1003-01_4	S1C1003_01724_vs01_168	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_68_1003-01_4	S1C1003_01724_vs01_68	0	0	0	0	714	0	0	0	0
S1C1003_01724_vs01_163_1003-01_4	S1C1003_01724_vs01_163	0	0	0	0	717	0	0	0	0
S1C1003_01336_vs01_36_1003-01_4	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_4	S1C1003_011133_vs01_15	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_168_1003-01_39	S1C1003_01724_vs01_168	1.0766488	0.9821782	171	2.8673286	711	4	0.005625879	1406469.8	1000000
S1C1003_01724_vs01_68_1003-01_39	S1C1003_01724_vs01_68	1.070922	0.97637796	171	2.8581939	714	4	0.005602241	1400560.3	1000000
S1C1003_01724_vs01_163_1003-01_39	S1C1003_01724_vs01_163	0	0	0	0	717	0	0	0	0
S1C1003_01336_vs01_36_1003-01_39	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_39	S1C1003_011133_vs01_15	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_168_1003-01_31	S1C1003_01724_vs01_168	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_68_1003-01_31	S1C1003_01724_vs01_68	0.8031915	0.7322835	151	1.767592	714	3	0.004201681	1400560.1	1000000
S1C1003_01724_vs01_163_1003-01_31	S1C1003_01724_vs01_163	0	0	0	0	717	0	0	0	0
S1C1003_01336_vs01_36_1003-01_31	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_31	S1C1003_011133_vs01_15	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_168_1003-01_40	S1C1003_01724_vs01_168	1.0463458	0.84158415	176	4.9692764	711	6	0.008438818	1406469.9	1000000
S1C1003_01724_vs01_68_1003-01_40	S1C1003_01724_vs01_68	1.0407802	0.8366142	176	4.9486003	714	6	0.008403362	1400560.1	1000000
S1C1003_01724_vs01_163_1003-01_40	S1C1003_01724_vs01_163	3.7107584	3.589041	389	11.79605	717	14	0.019525802	1394700.1	1000000
S1C1003_01336_vs01_36_1003-01_40	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_40	S1C1003_011133_vs01_15	6.71123	6.790099	627	13.823605	711	28	0.039381154	1406469.8	1000000
S1C1003_01724_vs01_168_1003-01_38	S1C1003_01724_vs01_168	0	0	0	0	711	0	0	0	0
