"Days_before_onset","Feature","Freq","Dataset"
0,"COLISTIN_rest",86,"BacRest"
0,"DLFM06_00591.2.B8_TET_16.gene.1...103.972.complete_rest",84,"BacRest"
0,"DLFM10_00815.F18_FEP_31.gene.2...545.1312.complete_rest",29,"BacRest"
0,"gb.BAE77933_1.ARO_3000518.CRP__Escherichia_coli_rest",84,"BacRest"
0,"TRICLOSAN_rest",94,"BacRest"
0,"COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis_path",48,"AllVars"
0,"ENTBACSYN.PWY..enterobactin.biosynthesis_MAX",62,"AllVars"
0,"GALACTARDEG.PWY..D.galactarate.degradation.I_path",44,"AllVars"
0,"GLUCARDEG.PWY..D.glucarate.degradation.I_path",34,"AllVars"
0,"GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation_path",29,"AllVars"
0,"GLUCONEO.PWY..gluconeogenesis.I_path",41,"AllVars"
0,"HSERMETANA.PWY..L.methionine.biosynthesis.III_path",28,"AllVars"
0,"LACTOSECAT.PWY..lactose.and.galactose.degradation.I_path",95,"AllVars"
0,"P125.PWY..superpathway.of..R.R..butanediol.biosynthesis_path",92,"AllVars"
0,"PWY.5005..biotin.biosynthesis.II_path",36,"AllVars"
0,"PWY.5097..L.lysine.biosynthesis.VI_path",26,"AllVars"
0,"PWY.5345..superpathway.of.L.methionine.biosynthesis..by.sulfhydrylation._path",29,"AllVars"
0,"PWY.6163..chorismate.biosynthesis.from.3.dehydroquinate_path",52,"AllVars"
0,"PWY.6317..galactose.degradation.I..Leloir.pathway._MAX",45,"AllVars"
0,"PWY.6527..stachyose.degradation_MAX",73,"AllVars"
0,"PWY.6700..queuosine.biosynthesis_path",100,"AllVars"
0,"PWY.724..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.II_path",69,"AllVars"
0,"PWY66.422..D.galactose.degradation.V..Leloir.pathway._MAX",83,"AllVars"
1,"DLFM04_01197.Control.TwinA.Time1_CHL_6.gene.3...838.1221.complete_rest",100,"BacRest"
1,"DLFM10_00815.F18_FEP_31.gene.2...545.1312.complete_rest",40,"BacRest"
1,"TRICLOSAN_rest",97,"BacRest"
1,"X0.WP_000506490_1.1.1.fabI.fabI.mutation.2...enoyl._acyl.carrier.protein__reductase_FabI_rest",53,"BacRest"
