"X8","Var1","Freq","Test_group"
8,"Anaerococcus_vir",45,"VirTaxa"
8,"Bariatricus_vir",93,"VirTaxa"
8,"Citrobacter_vir",55,"VirTaxa"
8,"Dickeya_vir",99,"VirTaxa"
8,"Enterococcus_faecalis_vir",71,"VirTaxa"
8,"Shigella_dysenteriae_vir",100,"VirTaxa"
8,"Shigella_vir",100,"VirTaxa"
8,"Staphylococcus_epidermidis_vir",55,"VirTaxa"
8,"Ureaplasma_parvum_vir",53,"VirTaxa"
8,"Bariatricus_vir",73,"BacTaxa"
8,"Dickeya_vir",67,"BacTaxa"
8,"Enterococcus_faecalis_vir",27,"BacTaxa"
8,"Shigella_dysenteriae_vir",100,"BacTaxa"
8,"Shigella_vir",100,"BacTaxa"
8,"Streptococcus_mitis_bac",45,"BacTaxa"
8,"DLFM11_04552.P02SR2_GEN_4.gene.1...108.500.complete_rest",53,"BacRest"
8,"Shigella_dysenteriae_vir",87,"BacRest"
8,"Shigella_vir",87,"BacRest"
8,"X356596044.AET17094_1.1.1.arsR_pKW301.arsR_pKW301..1.ARSENIC.ARSENIC.As.III..sensing_metalloregulatory_transcriptional_repressor_ArsR_rest",32,"BacRest"
8,"X501846383.WP_012655884_1.1.2.aac.6_..Ie.aac.6_..Ie.acetyltransferase.2.AMIKACIN_KANAMYCIN_TOBRAMYCIN.AMINOGLYCOSIDE.bifunctional_aminoglycoside_N.acetyltransferase_AAC.6_..Ie_aminoglycoside_O.phosphotransferase_APH.2__..Ia_rest",44,"BacRest"
8,"Anaerococcus_vir",31,"BaciRep"
8,"Bariatricus_vir",85,"BaciRep"
8,"Citrobacter_vir",37,"BaciRep"
8,"Dickeya_vir",74,"BaciRep"
8,"Enterococcus_faecalis_vir",31,"BaciRep"
8,"Shigella_dysenteriae_vir",100,"BaciRep"
8,"Shigella_vir",100,"BaciRep"
8,"Staphylococcus_epidermidis_iRep",70,"BaciRep"
8,"Staphylococcus_epidermidis_vir",33,"BaciRep"
8,"Ureaplasma_parvum_vir",29,"BaciRep"
8,"Shigella_dysenteriae_vir",47,"BacPath"
8,"Shigella_vir",36,"BacPath"
8,"ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine._MAX",34,"BacMAX"
8,"GLYCOL.GLYOXDEG.PWY..superpathway.of.glycol.metabolism.and.degradation_MAX",43,"BacMAX"
8,"PWY.5415..catechol.degradation.I..meta.cleavage.pathway._MAX",28,"BacMAX"
8,"PWY.5989..stearate.biosynthesis.II..bacteria.and.plants._MAX",53,"BacMAX"
8,"PWY.6527..stachyose.degradation_MAX",27,"BacMAX"
8,"PWY.7269..NAD.NADP.NADH.NADPH.mitochondrial.interconversion..yeast._MAX",100,"BacMAX"
8,"PWY.7400..L.arginine.biosynthesis.IV..archaebacteria._MAX",63,"BacMAX"
8,"PWY3O.355..stearate.biosynthesis.III..fungi._MAX",91,"BacMAX"
8,"Shigella_dysenteriae_vir",45,"BacMAX"
8,"Shigella_vir",59,"BacMAX"
8,"PWY.5989..stearate.biosynthesis.II..bacteria.and.plants._MAX",27,"AllVars"
8,"PWY.7269..NAD.NADP.NADH.NADPH.mitochondrial.interconversion..yeast._MAX",97,"AllVars"
8,"PWY3O.355..stearate.biosynthesis.III..fungi._MAX",48,"AllVars"
