"Days_before_onset","Feature","Freq","Dataset"
0,"Clostridium_cuniculi_vir",98,"VirTaxa"
0,"Clostridium_nigeriense_vir",84,"VirTaxa"
0,"Clostridium_saudiense_vir",99,"VirTaxa"
0,"Clostridium_vir",100,"VirTaxa"
0,"Enterobacter_vir",100,"VirTaxa"
0,"Enterococcus_faecalis_vir",100,"VirTaxa"
0,"Escherichia_marmotae_vir",74,"VirTaxa"
0,"Klebsiella_pneumoniae_vir",100,"VirTaxa"
0,"Klebsiella_vir",41,"VirTaxa"
0,"Salmonella_typhi_vir",88,"VirTaxa"
0,"Shigella_sonnei_vir",100,"VirTaxa"
0,"Shigella_vir",100,"VirTaxa"
0,"Terrisporobacter_glycolicus_vir",100,"VirTaxa"
0,"Terrisporobacter_vir",58,"VirTaxa"
0,"Bifidobacterium_breve_bac",26,"BacTaxa"
0,"Clostridium_cuniculi_vir",69,"BacTaxa"
0,"Clostridium_nigeriense_vir",34,"BacTaxa"
0,"Clostridium_saudiense_vir",61,"BacTaxa"
0,"Clostridium_vir",100,"BacTaxa"
0,"Enterobacter_vir",100,"BacTaxa"
0,"Enterococcus_faecalis_vir",94,"BacTaxa"
0,"Escherichia_marmotae_vir",53,"BacTaxa"
0,"Klebsiella_pneumoniae_vir",94,"BacTaxa"
0,"Klebsiella_vir",38,"BacTaxa"
0,"Salmonella_typhi_vir",94,"BacTaxa"
0,"Shigella_sonnei_vir",100,"BacTaxa"
0,"Shigella_vir",100,"BacTaxa"
0,"Staphylococcus_aureus_bac",79,"BacTaxa"
0,"Streptococcus_anginosus_bac",36,"BacTaxa"
0,"Terrisporobacter_glycolicus_vir",69,"BacTaxa"
0,"Clostridium_vir",80,"BacRest"
0,"DLFM10_03608.F3_ATM_7.gene.3...1609.1983.complete_rest",90,"BacRest"
0,"Enterobacter_vir",100,"BacRest"
0,"Enterococcus_faecalis_vir",53,"BacRest"
0,"QUINOLONE_rest",26,"BacRest"
0,"Salmonella_typhi_vir",33,"BacRest"
0,"Shigella_boydii_vir",49,"BacRest"
0,"Shigella_flexneri_vir",42,"BacRest"
0,"Shigella_sonnei_vir",100,"BacRest"
0,"Shigella_vir",100,"BacRest"
0,"Bifidobacterium_iRep",37,"BaciRep"
0,"Clostridium_cuniculi_vir",88,"BaciRep"
0,"Clostridium_iRep",100,"BaciRep"
0,"Clostridium_nigeriense_vir",47,"BaciRep"
0,"Clostridium_saudiense_vir",85,"BaciRep"
0,"Clostridium_vir",100,"BaciRep"
0,"Enterobacter_vir",100,"BaciRep"
0,"Enterococcus_faecalis_vir",99,"BaciRep"
0,"Klebsiella_pneumoniae_vir",98,"BaciRep"
0,"Salmonella_typhi_vir",98,"BaciRep"
0,"Shigella_sonnei_vir",100,"BaciRep"
0,"Shigella_vir",100,"BaciRep"
0,"Terrisporobacter_glycolicus_vir",98,"BaciRep"
0,"Enterobacter_vir",94,"BacPath"
0,"P161.PWY..acetylene.degradation_path",49,"BacPath"
0,"PWY.4041...gamma..glutamyl.cycle_path",37,"BacPath"
0,"PWY.5138..unsaturated..even.numbered.fatty.acid..beta..oxidation_path",48,"BacPath"
0,"PWY.6113..superpathway.of.mycolate.biosynthesis_path",88,"BacPath"
0,"PWY.6936..seleno.amino.acid.biosynthesis_path",94,"BacPath"
0,"Shigella_sonnei_vir",81,"BacPath"
0,"Shigella_vir",98,"BacPath"
0,"Enterobacter_vir",88,"BacMAX"
0,"P161.PWY..acetylene.degradation_MAX",100,"BacMAX"
0,"P23.PWY..reductive.TCA.cycle.I_MAX",44,"BacMAX"
0,"PWY.3841..folate.transformations.II_MAX",100,"BacMAX"
0,"PWY.5675..nitrate.reduction.V..assimilatory._MAX",100,"BacMAX"
0,"PWY.621..sucrose.degradation.III..sucrose.invertase._MAX",39,"BacMAX"
0,"PWY.6305..putrescine.biosynthesis.IV_MAX",51,"BacMAX"
0,"PWY.6969..TCA.cycle.V..2.oxoglutarate.ferredoxin.oxidoreductase._MAX",30,"BacMAX"
0,"PWY0.1297..superpathway.of.purine.deoxyribonucleosides.degradation_MAX",100,"BacMAX"
0,"PWY0.1298..superpathway.of.pyrimidine.deoxyribonucleosides.degradation_MAX",100,"BacMAX"
0,"PWY66.400..glycolysis.VI..metazoan._MAX",26,"BacMAX"
0,"Shigella_sonnei_vir",84,"BacMAX"
0,"Shigella_vir",97,"BacMAX"
0,"X1CMET2.PWY..N10.formyl.tetrahydrofolate.biosynthesis_MAX",62,"BacMAX"
0,"Enterobacter_vir",50,"AllVars"
0,"P161.PWY..acetylene.degradation_MAX",98,"AllVars"
0,"P161.PWY..acetylene.degradation_path",38,"AllVars"
0,"PWY.3841..folate.transformations.II_MAX",97,"AllVars"
0,"PWY.5675..nitrate.reduction.V..assimilatory._MAX",98,"AllVars"
0,"PWY.6113..superpathway.of.mycolate.biosynthesis_path",52,"AllVars"
0,"PWY.6305..putrescine.biosynthesis.IV_MAX",30,"AllVars"
0,"PWY.6936..seleno.amino.acid.biosynthesis_path",72,"AllVars"
0,"PWY0.1297..superpathway.of.purine.deoxyribonucleosides.degradation_MAX",100,"AllVars"
0,"PWY0.1298..superpathway.of.pyrimidine.deoxyribonucleosides.degradation_MAX",97,"AllVars"
0,"Shigella_sonnei_vir",35,"AllVars"
0,"Shigella_vir",66,"AllVars"
1,"Aeromonas_hydrophila_vir",48,"VirTaxa"
1,"Aeromonas_salmonicida_vir",45,"VirTaxa"
1,"Clostridium_senegalense_vir",100,"VirTaxa"
1,"Clostridium_tertium_vir",37,"VirTaxa"
1,"Dickeya_vir",100,"VirTaxa"
1,"Enterobacter_oligotrophica_vir",98,"VirTaxa"
1,"Enterobacter_vir",100,"VirTaxa"
1,"Enterococcus_faecalis_vir",97,"VirTaxa"
1,"Escherichia_marmotae_vir",99,"VirTaxa"
1,"Klebsiella_pneumoniae_vir",73,"VirTaxa"
1,"Klebsiella_vir",100,"VirTaxa"
1,"Salmonella_typhi_vir",99,"VirTaxa"
1,"Salmonella_vir",93,"VirTaxa"
1,"Staphylococcus_vir",100,"VirTaxa"
1,"Clostridium_senegalense_vir",100,"BacTaxa"
1,"Dickeya_vir",100,"BacTaxa"
1,"Enterobacter_vir",100,"BacTaxa"
1,"Enterococcus_faecalis_vir",100,"BacTaxa"
1,"Enterococcus_vir",50,"BacTaxa"
1,"Escherichia_marmotae_vir",94,"BacTaxa"
1,"Klebsiella_oxytoca_bac",83,"BacTaxa"
1,"Klebsiella_vir",100,"BacTaxa"
1,"Salmonella_typhi_vir",96,"BacTaxa"
1,"Salmonella_vir",72,"BacTaxa"
1,"Staphylococcus_bac",100,"BacTaxa"
1,"Staphylococcus_epidermidis_bac",100,"BacTaxa"
1,"Staphylococcus_vir",100,"BacTaxa"
1,"Streptococcus_vestibularis_bac",99,"BacTaxa"
1,"Veillonella_atypica_bac",50,"BacTaxa"
1,"AMINOGLYCOSIDE_rest",97,"BacRest"
1,"Clostridium_senegalense_vir",48,"BacRest"
1,"DLFM06_01668.1.C6_FOX_19.gene.3...1239.1748.complete_rest",50,"BacRest"
1,"DLFM11_03899.P05SR2_FOX_106.gene.2...421.855.complete_rest",99,"BacRest"
1,"Enterobacter_vir",100,"BacRest"
1,"Enterococcus_faecalis_vir",66,"BacRest"
1,"Escherichia_marmotae_vir",36,"BacRest"
1,"gb.BAE77933_1.ARO_3000518.CRP__Escherichia_coli_rest",46,"BacRest"
1,"Klebsiella_vir",52,"BacRest"
1,"MUPIROCIN_rest",59,"BacRest"
1,"QUINOLONE_rest",100,"BacRest"
1,"Staphylococcus_vir",95,"BacRest"
1,"X1028083901.WP_063842869_1.1.1.blaR1.blaR1.regulation.2.BETA.LACTAM.BETA.LACTAM.beta.lactam_sensor_signal_transducer_BlaR1_rest",89,"BacRest"
1,"X1028097908.WP_063854503_1.1.1.qacB.qacB.efflux.2.QUATERNARY_AMMONIUM.QUATERNARY_AMMONIUM.quaternary_ammonium_compound_efflux_MFS_transporter_QacB_rest",95,"BacRest"
1,"X300492223.ADK23698_1.1.1.qacR.qacR..1.QUATERNARY_AMMONIUM.QUATERNARY_AMMONIUM.multidrug.binding_transcriptional_regulator_QacR_rest",96,"BacRest"
1,"X446655928.WP_000733274_1.1.1.blaZ.blaZ.hydrolase.2.BETA.LACTAM.BETA.LACTAM.penicillin.hydrolyzing_class_A_beta.lactamase_BlaZ_rest",100,"BacRest"
1,"X447207400.WP_001284656_1.1.1.blaI_of_Z.blaI_of_Z.regulation.2.BETA.LACTAM.BETA.LACTAM.penicillinase_repressor_BlaI_rest",70,"BacRest"
1,"Aeromonas_hydrophila_vir",54,"BaciRep"
