"X2","Var1","Freq","Test_group"
2,"Dickeya_vir",100,"VirTaxa"
2,"Enterobacter_vir",38,"VirTaxa"
2,"Corynebacterium_aurimucosum_bac",100,"BacTaxa"
2,"Dickeya_vir",100,"BacTaxa"
2,"Enterobacter_hormaechei_bac",67,"BacTaxa"
2,"Staphylococcus_warneri_bac",85,"BacTaxa"
2,"Veillonella_atypica_bac",96,"BacTaxa"
2,"Veillonella_bac",80,"BacTaxa"
2,"DLFM07_01864.01X.000_GEN_1.gene.5...2984.3268.complete_rest",34,"BacRest"
2,"DLFM10_03608.F3_ATM_7.gene.3...1609.1983.complete_rest",46,"BacRest"
2,"gb.BAH63251_1.ARO_3004580.Kpne_KpnE__Klebsiella_pneumoniae_rest",48,"BacRest"
2,"LIPOPEPTIDE_rest",82,"BacRest"
2,"X300492223.ADK23698_1.1.1.qacR.qacR..1.QUATERNARY_AMMONIUM.QUATERNARY_AMMONIUM.multidrug.binding_transcriptional_regulator_QacR_rest",40,"BacRest"
2,"X501846383.WP_012655884_1.1.2.aac.6_..Ie.aac.6_..Ie.acetyltransferase.2.AMIKACIN_KANAMYCIN_TOBRAMYCIN.AMINOGLYCOSIDE.bifunctional_aminoglycoside_N.acetyltransferase_AAC.6_..Ie_aminoglycoside_O.phosphotransferase_APH.2__..Ia_rest",28,"BacRest"
2,"Dickeya_vir",100,"BaciRep"
2,"Staphylococcus_iRep",93,"BaciRep"
2,"Veillonella_atypica_iRep",71,"BaciRep"
2,"Veillonella_iRep",100,"BaciRep"
2,"FERMENTATION.PWY..mixed.acid.fermentation_path",28,"BacPath"
2,"P42.PWY..incomplete.reductive.TCA.cycle_path",59,"BacPath"
2,"PENTOSE.P.PWY..pentose.phosphate.pathway_path",71,"BacPath"
2,"PWY.5088..L.glutamate.degradation.VIII..to.propanoate._path",42,"BacPath"
2,"PWY.5415..catechol.degradation.I..meta.cleavage.pathway._path",26,"BacPath"
2,"PWY0.1261..anhydromuropeptides.recycling_path",39,"BacPath"
2,"PWY0.1586..peptidoglycan.maturation..meso.diaminopimelate.containing._path",60,"BacPath"
2,"PWY0.845..superpathway.of.pyridoxal.5..phosphate.biosynthesis.and.salvage_path",27,"BacPath"
2,"COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian._MAX",27,"BacMAX"
2,"KETOGLUCONMET.PWY..ketogluconate.metabolism_MAX",100,"BacMAX"
2,"NAD.BIOSYNTHESIS.II..NAD.salvage.pathway.II_MAX",55,"BacMAX"
2,"P161.PWY..acetylene.degradation_MAX",97,"BacMAX"
2,"P221.PWY..octane.oxidation_MAX",82,"BacMAX"
2,"PENTOSE.P.PWY..pentose.phosphate.pathway_MAX",100,"BacMAX"
2,"PWY.5177..glutaryl.CoA.degradation_MAX",34,"BacMAX"
2,"PWY.5415..catechol.degradation.I..meta.cleavage.pathway._MAX",33,"BacMAX"
2,"PWY.6471..peptidoglycan.biosynthesis.IV..Enterococcus.faecium._MAX",29,"BacMAX"
2,"PWY.6549..L.glutamine.biosynthesis.III_MAX",30,"BacMAX"
2,"PWY0.1297..superpathway.of.purine.deoxyribonucleosides.degradation_MAX",92,"BacMAX"
2,"SER.GLYSYN.PWY..superpathway.of.L.serine.and.glycine.biosynthesis.I_MAX",68,"BacMAX"
2,"KETOGLUCONMET.PWY..ketogluconate.metabolism_MAX",84,"AllVars"
2,"LIPOPEPTIDE_rest",26,"AllVars"
2,"NAD.BIOSYNTHESIS.II..NAD.salvage.pathway.II_MAX",32,"AllVars"
2,"P161.PWY..acetylene.degradation_MAX",85,"AllVars"
2,"P221.PWY..octane.oxidation_MAX",67,"AllVars"
2,"P42.PWY..incomplete.reductive.TCA.cycle_path",47,"AllVars"
2,"PENTOSE.P.PWY..pentose.phosphate.pathway_MAX",81,"AllVars"
2,"PENTOSE.P.PWY..pentose.phosphate.pathway_path",42,"AllVars"
2,"PWY0.1297..superpathway.of.purine.deoxyribonucleosides.degradation_MAX",59,"AllVars"
2,"PWY0.1586..peptidoglycan.maturation..meso.diaminopimelate.containing._path",45,"AllVars"
