feature,metadata,value,coef,stderr,N,N.not.0,pval,qval
Klebsiella,NEC_status,Control,-3.88949654837283,1.07673344889092,1800,888,4.49293152994174e-4,0.00450331981093583
Enterobacter,NEC_status,Control,-3.55893649922422,1.413579731559,1800,802,0.0131154158116166,0.0629975928458259
Cronobacter,NEC_status,Control,-0.904429226342793,0.392170293963721,1800,159,0.0227627006058731,0.0961185452359451
Serratia,NEC_status,Control,-1.05820424821855,0.493565354646926,1800,183,0.0340080899288438,0.127365071137398
Shigella,NEC_status,Control,-1.96070089422392,1.00522841377882,1800,516,0.0535075860079638,0.174402545371822
Dickeya,NEC_status,Control,-2.09991285220938,1.10249157969899,1800,311,0.0592517400530041,0.187829099180821
Aeromonas,NEC_status,Control,-1.03142944655566,0.556718984993575,1800,141,0.066352649370952,0.20306283519624
Yersinia,NEC_status,Control,-0.848106857687661,0.463085867834223,1800,182,0.0694586940094434,0.209463261586739
Phytobacter,NEC_status,Control,-0.747056358736044,0.413448051135148,1800,134,0.0734488867145447,0.217585907407236
Bariatricus,NEC_status,Control,-0.613535166925365,0.353565123556342,1800,185,0.0851269428549499,0.241587755990971
Enterococcus,NEC_status,Control,-1.82244591824331,1.05191603302929,1800,966,0.0857511350462892,0.242961549297819
Salmonella,NEC_status,Control,-1.79257774463716,1.03921810810111,1800,658,0.0871444548733325,0.245043890873679
Klebsiella_grimontii,NEC_status,Control,-1.49298860093373,0.505123255618252,1777,333,0.0037407362150438,0.0253147129629599
Klebsiella_pneumoniae,NEC_status,Control,-2.79659876053233,0.988473667624304,1777,751,0.00549413469764095,0.0339786643251292
Serratia_proteamaculans,NEC_status,Control,-0.533017140217048,0.195909168674632,1777,95,0.00748524667820547,0.0433233274023109
Yersinia_enterocolitica,NEC_status,Control,-0.533017140217048,0.195909168674632,1777,95,0.00748524667820547,0.0433233274023109
Yersinia_pestis,NEC_status,Control,-0.533017140217048,0.195909168674632,1777,95,0.00748524667820547,0.0433233274023109
Yersinia_pseudotuberculosis,NEC_status,Control,-0.533017140217048,0.195909168674632,1777,95,0.00748524667820547,0.0433233274023109
Pseudomonas_aeruginosa,NEC_status,Control,-0.456041640117068,0.193751761881419,1777,92,0.020219303468765,0.0918086824601085
Pseudomonas_putida,NEC_status,Control,-0.437136017871838,0.193445961986585,1777,94,0.0256464363523151,0.108343108672025
Aeromonas_salmonicida,NEC_status,Control,-1.10535294481671,0.490107913433691,1777,121,0.0259105676372871,0.10912876275631
Pseudomonas_stutzeri,NEC_status,Control,-0.437705639594093,0.1945190173317,1777,91,0.0262691739363684,0.110311722054988
Pseudomonas_entomophila,NEC_status,Control,-0.435303419821195,0.194337515799961,1777,91,0.0269467414629948,0.111954643693363
Pseudomonas_fluorescens,NEC_status,Control,-0.435303419821195,0.194337515799961,1777,91,0.0269467414629948,0.111954643693363
Pseudomonas_mendocina,NEC_status,Control,-0.435303419821195,0.194337515799961,1777,91,0.0269467414629948,0.111954643693363
Pseudomonas_syringae,NEC_status,Control,-0.435303419821195,0.194337515799961,1777,91,0.0269467414629948,0.111954643693363
Aeromonas_hydrophila,NEC_status,Control,-1.08718427721343,0.490176623331329,1777,123,0.0284256038762232,0.116313604698174
Enterococcus_faecalis,NEC_status,Control,-1.90877767998677,1.00663502675026,1777,691,0.0603693377790961,0.196339833312975
Shigella_dysenteriae,NEC_status,Control,-0.886227637777999,0.479414375014035,1777,141,0.0672954705906207,0.213537205598192
Citrobacter_koseri,NEC_status,Control,-0.875418912467822,0.502269572142926,1777,268,0.0839845123657987,0.249191820417577
