feature,metadata,value,coef,stderr,N,N.not.0,pval,qval
Limosilactobacillus_bac,NEC_status,Control,-0.549741234625983,0.199308698997513,778,12,0.00681916767106029,0.132438380388361
Candida_dubliniensis_bac,NEC_status,Control,-0.0926472491964291,0.00767366806019532,778,1,0.00220904683496998,0.0666931801011224
Streptococcus_halichoeri_bac,NEC_status,Control,-0.521477598494272,0.1994013839168,778,7,0.0101793245062744,0.218251618651476
Veillonella_dispar_bac,NEC_status,Control,1.27804058597978,0.490845206883236,778,96,0.0104554090407938,0.221914302627587
Klebsiella_vir,NEC_status,Control,-3.83798923717421,1.2605400799723,772,410,0.00289659656011797,0.0690204649090611
Serratia_vir,NEC_status,Control,-1.825434808876,0.625406674204128,772,88,0.00424998738326108,0.0932551188413402
Klebsiella_grimontii_vir,NEC_status,Control,-20877564.4666107,7402526.21249526,766,166,0.00571416845004769,0.13894039724431
Serratia_proteamaculans_vir,NEC_status,Control,-4518596.65596834,1669128.43147602,766,38,0.00787952608458571,0.177039984811894
Yersinia_enterocolitica_vir,NEC_status,Control,-4518596.65596834,1669128.43147602,766,38,0.00787952608458571,0.177039984811894
Yersinia_pestis_vir,NEC_status,Control,-4518596.65596834,1669128.43147602,766,38,0.00787952608458571,0.177039984811894
Yersinia_pseudotuberculosis_vir,NEC_status,Control,-4518596.65596834,1669128.43147602,766,38,0.00787952608458571,0.177039984811894
BETA.LACTAM.QUINOLONE.TETRACYCLINE_rest,NEC_status,Control,-0.169343076350585,0.0587622930952348,777,14,0.0048866587304116,0.0951766013237494
FLUOROQUINOLONE_rest,NEC_status,Control,-0.182477825498801,0.0649771532067462,777,11,0.00615349042711845,0.101537990744635
gb.AAG05916_1.ARO_3004073.MuxA__Pseudomonas_aeruginosa_rest,NEC_status,Control,-0.0533123239092125,0.0161169243197674,777,4,0.00138944579129266,0.045299414323180603
gb.BAE06008_1.ARO_3003699.mexQ__Pseudomonas_aeruginosa__rest,NEC_status,Control,-0.0800172850289403,0.0264533950314067,777,6,0.00313042100076436,0.0839815380945452
gb.AAG07595_1.ARO_3000809.OpmD__Pseudomonas_aeruginosa_rest,NEC_status,Control,-0.0264765221110758,0.00884767897403766,777,3,0.00369374800721493,0.0941946874891112
X489172727.WP_003082280_1.1.1.fosA_PA1129.fosA_PA1129.thiol_transferase.2.FOSFOMYCIN.FOSFOMYCIN.FosA_family_fosfomycin_resistance_glutathione_transferase_rest,NEC_status,Control,-0.0527361640104797,0.0177049953655793,777,4,0.00387226682152803,0.0978319839066548
X1343491244.WP_104009860_1.1.1.blaPDC.231.blaPDC.hydrolase.2.CEPHALOSPORIN.BETA.LACTAM.class_C_beta.lactamase_PDC.231_rest,NEC_status,Control,-0.111568556196248,0.0376980326082589,777,8,0.00398894840657215,0.0995498240088299
X0.WP_003112844_1.1.1.ampD.ampD.mutation.2...beta.lactamase_expression_regulator_AmpD_rest,NEC_status,Control,-0.0263543286284304,0.00911753643217859,777,3,0.00471011721095857,0.112355920969741
X489203617.WP_003112709_1.1.1.catB7.catB7.acetyltransferase.2.CHLORAMPHENICOL.PHENICOL.type_B.4_chloramphenicol_O.acetyltransferase_CatB7_rest,NEC_status,Control,-0.0441615044655291,0.0154159772777447,777,5,0.00513299218248869,0.11899918981559
X1493113123.WP_121306048_1.1.1.blaOXA.1021.blaOXA.50_fam.hydrolase.2.BETA.LACTAM.BETA.LACTAM.OXA.50_family_oxacillin.hydrolyzing_class_D_beta.lactamase_OXA.1021_rest,NEC_status,Control,-0.0468288340259399,0.0165162006412301,777,5,0.00560458819685988,0.125976707605115
gb.AAG05882_1.ARO_3000804.MexF__Pseudomonas_aeruginosa_rest,NEC_status,Control,-0.0581971986988233,0.0206649491166971,777,4,0.00581637819360579,0.129014975429652
X6502951.AAF14522_1.1.1.mexX.mexX.efflux.1.EFFLUX.EFFLUX.multidrug_efflux_RND_transporter_periplasmic_adaptor_subunit_MexX_rest,NEC_status,Control,-0.0174923606683688,0.00635933797990944,777,2,0.0060957505440768,0.133266379650433
