feature,metadata,value,coef,stderr,N,N.not.0,pval,qval
Limosilactobacillus_bac,NEC_status,Control,-0.530893767467296,0.186376199106156,1825,15,0.00519782175668663,0.0366723787971764
Peptococcus_bac,NEC_status,Control,-0.126602966141881,0.0538561673978062,1825,11,0.0212581058284689,0.114122462868622
Bacillus_bac,NEC_status,Control,0.103151619911688,0.0452470046284581,1825,13,0.0244103166139644,0.12684837017737
Lachnoclostridium_bac,NEC_status,Control,0.0425222889104454,0.0200188926720198,1825,12,0.0355821728846728,0.163907557675202
GGB4260_bac,NEC_status,Control,-0.399492106950019,0.195914916043562,1825,94,0.0435683594736121,0.188760974903878
Serratia_bac,NEC_status,Control,-1.2283267590356,0.648601684056296,1825,165,0.0607733035103683,0.236856652327527
Lactobacillus_bac,NEC_status,Control,-0.400722954205508,0.215119935141512,1825,36,0.0648141089953941,0.245633088230952
Clostridium_butyricum_bac,NEC_status,Control,-0.420973601480947,0.166236757834266,1825,38,0.0126133514948903,0.0865955093014583
Serratia_marcescens_bac,NEC_status,Control,-1.43978963083894,0.583556854825362,1825,138,0.0150678572513098,0.0981057420968725
Peptococcus_niger_bac,NEC_status,Control,-0.126602966141881,0.0538561673978062,1825,11,0.0212581058284689,0.127395698957659
Bacillus_cereus_bac,NEC_status,Control,0.103151619911688,0.0452470046284581,1825,13,0.0244103166139644,0.140664214953798
GGB4260_SGB5794_bac,NEC_status,Control,-0.393461535726564,0.175011733219259,1825,78,0.0263115523065462,0.148318757165377
Staphylococcus_schweitzeri_bac,NEC_status,Control,0.159422715081929,0.0720618502539724,1825,41,0.028840951684802,0.158403380791913
Lactobacillus_gasseri_bac,NEC_status,Control,-0.444412101558636,0.202849615267618,1825,29,0.0302944417725578,0.16327636949595
Clostridium_symbiosum_bac,NEC_status,Control,0.0298498215015463,0.0138307942398749,1825,12,0.0327911462818281,0.172136365605476
Pseudomonas_aeruginosa_bac,NEC_status,Control,-0.496858955196917,0.24432994024514,1825,69,0.044255121662322,0.212271859010711
Klebsiella_pneumoniae_bac,NEC_status,Control,-1.69882792076694,0.84391007999934,1825,409,0.0462724412789183,0.217904831826665
Acinetobacter_baumannii_bac,NEC_status,Control,-0.238167491130543,0.119035715465846,1825,22,0.0475282031844642,0.221729271483465
Actinomyces_sp_HMSC065F11_bac,NEC_status,Control,-0.0892746989652715,0.0453623690177144,1825,11,0.0527585945487014,0.23760233668634
Klebsiella_vir,NEC_status,Control,-3.88950672250258,1.07673623875975,1800,888,4.49293013312032e-4,0.00550872303278231
Enterobacter_vir,NEC_status,Control,-3.55894929817372,1.41358450499846,1800,802,0.0131153962991107,0.0799939056716751
Mixta_vir,NEC_status,Control,-0.204378246145217,0.0842753569656367,1800,17,0.0167632265948371,0.0960130326112889
Negativicoccus_vir,NEC_status,Control,-0.237058822249782,0.0992941148834085,1800,23,0.0187440538657193,0.104696719463079
Eubacterium_vir,NEC_status,Control,0.23348206698263901,0.0987171298825785,1800,36,0.019716429395117,0.109020256655353
Cronobacter_vir,NEC_status,Control,-0.904429149267752,0.392170261574944,1800,159,0.0227627010767453,0.121085017510623
