SampleID,Achromobacter_denitrificans,Achromobacter_xylosoxidans,Acinetobacter_baumannii,Acinetobacter_lwoffii,Acinetobacter_ursingii,Actinobacillus_pleuropneumoniae,Actinobaculum_massiliense,Actinomyces_graevenitzii,Actinomyces_oris,Actinomyces_urogenitalis,Actinosynnema_pretiosum,Aeromonas_caviae,Aeromonas_hydrophila,Aeromonas_salmonicida,Akkermansia_muciniphila,Alkalihalobacillus_clausii,Amedibacillus_dolichus,Amedibacterium_intestinale,Anaerococcus_obesiensis,Anaerococcus_senegalensis,Anaerococcus_vaginalis,Anaerostipes_caccae,Anaerotruncus_colihominis,Arabia_massiliensis,Arachnia_massiliensis,Atlantibacter_hermannii,Bacillus_amyloliquefaciens,Bacillus_anthracis,Bacillus_cereus,Bacillus_licheniformis,Bacillus_thuringiensis,Bacteroides_acidifaciens,Bacteroides_massiliensis,Bacteroides_stercoris,Bacteroides_vulgatus,Bifidobacterium_adolescentis,Bifidobacterium_angulatum,Bifidobacterium_bifidum,Bifidobacterium_breve,Bifidobacterium_dentium,Bifidobacterium_gallinarum,Bifidobacterium_infantis,Bifidobacterium_kashiwanohense,Bifidobacterium_longum,Bifidobacterium_pseudocatenulatum,Bifidobacterium_pullorum,Bifidobacterium_ruminantium,Bifidobacterium_scardovii,Bifidobacterium_thermophilum,Blautia_luti,Blautia_obeum,Cedecea_davisae,Cedecea_lapagei,Cedecea_neteri,Chimaeribacter_arupi,Citrobacter_amalonaticus,Citrobacter_braakii,Citrobacter_europaeus,Citrobacter_farmeri,Citrobacter_freundii,Citrobacter_gillenii,Citrobacter_koseri,Citrobacter_portucalensis,Citrobacter_rodentium,Citrobacter_sedlakii,Citrobacter_werkmanii,Citrobacter_youngae,Clostridioides_difficile,Clostridium_baratii,Clostridium_beijerinckii,Clostridium_botulinum,Clostridium_butyricum,Clostridium_celatum,Clostridium_cuniculi,Clostridium_disporicum,Clostridium_ihumii,Clostridium_kluyveri,Clostridium_massiliamazoniense,Clostridium_neonatale,Clostridium_nigeriense,Clostridium_paraputrificum,Clostridium_perfringens,Clostridium_saccharoperbutylacetonicum,Clostridium_saudiense,Clostridium_senegalense,Clostridium_septicum,Clostridium_tertium,Clostridium_tetani,Clostridium_ventriculi,Collinsella_stercoris,Corynebacterium_afermentans,Corynebacterium_amycolatum,Corynebacterium_aurimucosum,Corynebacterium_diphtheriae,Corynebacterium_glutamicum,Corynebacterium_jeikeium,Corynebacterium_kefirresidentii,Corynebacterium_kroppenstedtii,Corynebacterium_phoceense,Corynebacterium_simulans,Corynebacterium_striatum,Corynebacterium_vitaeruminis,Cronobacter_malonaticus,Cronobacter_muytjensii,Cronobacter_sakazakii,Cupriavidus_metallidurans,Cutibacterium_acnes,Cutibacterium_avidum,Cutibacterium_granulosum,Delftia_acidovorans,Delftia_tsuruhatensis,Dermabacter_hominis,Dialister_hominis,Dickeya_aquatica,Dickeya_chrysanthemi,Dickeya_dadantii,Dickeya_dianthicola,Dickeya_fangzhongdai,Duncaniella_dubosii,Dysosmobacter_welbionis,Edwardsiella_anguillarum,Eggerthella_lenta,Eikenella_corrodens,Eisenbergiella_massiliensis,Eisenbergiella_tayi,Ellagibacter_isourolithinifaciens,Enterobacter_asburiae,Enterobacter_bugandensis,Enterobacter_cancerogenus,Enterobacter_chengduensis,Enterobacter_cloacae,Enterobacter_hormaechei,Enterobacter_kobei,Enterobacter_ludwigii,Enterobacter_mori,Enterobacter_oligotrophica,Enterobacter_roggenkampii,Enterobacter_sichuanensis,Enterobacter_timonensis,Enterobacteriaceae_bacterium,Enterococcus_avium,Enterococcus_devriesei,Enterococcus_durans,Enterococcus_faecalis,Enterococcus_faecium,Enterococcus_gilvus,Enterococcus_mundtii,Enterococcus_raffinosus,Enteroscipio_rubneri,Erysipelatoclostridium_ramosum,Erysipelatoclostridium_saccharogumia,Erysipelatoclostridium_spiroforme,Escherichia_albertii,Escherichia_coli,Escherichia_fergusonii,Escherichia_marmotae,Eubacterium_callanderi,Eubacterium_limosum,Eubacterium_ramulus,Extibacter_hylemonae,Faecalibacterium_prausnitzii,Faecalimonas_phoceensis,Faecalimonas_umbilicata,Finegoldia_magna,Flaviflexus_massiliensis,Flavonifractor_plautii,Fusobacterium_hwasookii,Fusobacterium_nucleatum,Gemella_haemolysans,Gleimia_europaea,Gordonibacter_massiliensis,Gordonibacter_pamelaeae,Haemophilus_ducreyi,Haemophilus_parahaemolyticus,Haemophilus_parainfluenzae,Haemophilus_somnus,Hafnia_alvei,Intestinimonas_butyriciproducens,Kallipyga_gabonensis,Klebsiella_aerogenes,Klebsiella_grimontii,Klebsiella_indica,Klebsiella_michiganensis,Klebsiella_oxytoca,Klebsiella_pneumoniae,Klebsiella_quasipneumoniae,Klebsiella_quasivariicola,Klebsiella_variicola,Kluyvera_ascorbata,Kosakonia_cowanii,Kytococcus_sedentarius,Lachnoanaerobaculum_orale,Lactobacillus_brevis,Lactobacillus_casei,Lactobacillus_crispatus,Lactobacillus_fermentum,Lactobacillus_gasseri,Lactobacillus_helveticus,Lactobacillus_johnsonii,Lactobacillus_lindneri,Lactobacillus_paracasei,Lactobacillus_paragasseri,Lactobacillus_rhamnosus,Lactococcus_lactis,Leclercia_adecarboxylata,Leminorella_richardii,Ligilactobacillus_animalis,Limosilactobacillus_antri,Mediterraneibacter_butyricigenes,Mediterraneibacter_faecis,Mediterraneibacter_torques,Megasphaera_elsdenii,Microvirga_massiliensis,Mixta_calida,Mixta_theicola,Morganella_morganii,Muricomes_fissicatena,Mycobacterium_tuberculosis,Negativicoccus_massiliensis,Negativicoccus_succinicivorans,Neisseria_gonorrhoeae,Neisseria_macacae,Neisseria_subflava,Nesterenkonia_massiliensis,Noviherbaspirillum_massiliense,Olegusella_massiliensis,Pantoea_agglomerans,Pantoea_ananatis,Pantoea_anthophila,Pantoea_brenneri,Pantoea_conspicua,Pantoea_eucalypti,Pantoea_septica,Pantoea_stewartii,Parabacteroides_distasonis,Paraclostridium_sordellii,Pasteurella_multocida,Pauljensenia_polynesiensis,Pauljensenia_radingae,Pauljensenia_turicensis,Pectobacterium_brasiliense,Pectobacterium_parmentieri,Peptococcus_niger,Peptoniphilus_grossensis,Peptoniphilus_lacydonensis,Peptoniphilus_obesi,Peptoniphilus_phoceensis,Phytobacter_diazotrophicus,Phytobacter_massiliensis,Phytobacter_ursingii,Pluralibacter_gergoviae,Prevotella_bivia,Prevotella_lascolaii,Prevotella_oris,Prevotella_veroralis,Propionibacterium_acidifaciens,Propionibacterium_acnes,Propionibacterium_freudenreichii,Proteus_cibarius,Proteus_hauseri,Proteus_mirabilis,Proteus_vulgaris,Providencia_rettgeri,Providencia_stuartii,Pseudescherichia_vulneris,Pseudoalteromonas_haloplanktis,Pseudoflavonifractor_capillosus,Pseudomonas_aeruginosa,Pseudomonas_entomophila,Pseudomonas_extremaustralis,Pseudomonas_fluorescens,Pseudomonas_fulva,Pseudomonas_massiliensis,Pseudomonas_mendocina,Pseudomonas_putida,Pseudomonas_stutzeri,Pseudomonas_syringae,Rahnella_variigena,Ralstonia_pickettii,Raoultella_electrica,Raoultella_ornithinolytica,Raoultella_planticola,Renibacterium_salmoninarum,Rhodoferax_koreense,Romboutsia_dakarensis,Romboutsia_timonensis,Rothia_mucilaginosa,Rubneribacter_badeniensis,Ruthenibacterium_lactatiformans,Salmonella_bongori,Salmonella_enterica,Salmonella_typhi,Schaalia_odontolytica,Serratia_liquefaciens,Serratia_marcescens,Serratia_plymuthica,Serratia_proteamaculans,Serratia_rubidaea,Serratia_ureilytica,Shigella_boydii,Shigella_dysenteriae,Shigella_flexneri,Shigella_sonnei,Sodalis_glossinidius,Staphylococcus_argenteus,Staphylococcus_aureus,Staphylococcus_delphini,Staphylococcus_epidermidis,Staphylococcus_haemolyticus,Staphylococcus_lugdunensis,Staphylococcus_schleiferi,Staphylococcus_warneri,Stenotrophomonas_maltophilia,Stenotrophomonas_maltophiliaK,Stenotrophomonas_maltophiliaQ,Streptococcus_agalactiae,Streptococcus_anginosus,Streptococcus_canis,Streptococcus_cristatus,Streptococcus_dysgalactiae,Streptococcus_equi,Streptococcus_equinus,Streptococcus_gallolyticus,Streptococcus_gordonii,Streptococcus_intermedius,Streptococcus_lutetiensis,Streptococcus_macedonicus,Streptococcus_milleri,Streptococcus_mitis,Streptococcus_oralis,Streptococcus_pasteurianus,Streptococcus_pneumoniae,Streptococcus_pseudopneumoniae,Streptococcus_pyogenes,Streptococcus_salivarius,Streptococcus_sanguinis,Streptococcus_suis,Streptococcus_thermophilus,Streptococcus_vestibularis,Streptomyces_spongiicola,Terrisporobacter_glycolicus,Terrisporobacter_othiniensis,Timonella_senegalensis,Ureaplasma_parvum,Varibaculum_cambriense,Varibaculum_massiliense,Varibaculum_timonense,Veillonella_atypica,Veillonella_dispar,Veillonella_parvula,Vibrio_cholerae,Vibrio_fischeri,Vibrio_fluvialis,Vibrio_vulnificus,Winkia_neuii,Xanthomonas_oryzae,Yersinia_enterocolitica,Yersinia_intermedia,Yersinia_massiliensis,Yersinia_pestis,Yersinia_pseudotuberculosis,Yokenella_regensburgei,NEC_onset2,NEC_status,DOL,Days_before_NEC_onset,Patient
1003-01_10,0,0,0,0,0,0,0,0,0,0,0,0,0.065417042,0.065417042,0,0,0,0,0,0,0,0,0,0,0,0.019890908,0.002794176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002867926,0,0,0,0,0,0,0,0,0,0,0,0.342995899,0.071835936,0,0,0.000980189,0,0,0,0,0.003367474,0,0,0,0.0033906,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164569765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042099121,0.076113931,0,0.019890908,0,0.205956356,0.023941543,0,0.018817613,0.003336981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000980189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000538612,0,0,0,0.003423261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065417042,0.065417042,0,0.065417042,0,0,0.065417042,0.065417042,0.065417042,0.065417042,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14318844,0.142708529,0,0,0,0.0093154,0.065417042,0,0,0.142708529,0,0.142708529,0.142708529,0.077291487,0.005832165,0.005832165,0,0.003040265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065417042,0,0.071835936,0.065417042,0.065417042,0,Late,case,19,49,1003-01
1003-01_11,0,0,0,0,0,0,0,0,0,0,0,0,0.068167189,0.068167189,0,0,0,0,0,0,0,0,0,0,0,0.019667,0.001297904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006837529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012694887,0,0,0,0,0,0,0,0,0,0,0,0.27065733,0.082350839,0,0,0,0,0,0,0,0.011421371,0,0,0,0.006837529,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176816244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043262914,0.085177697,0,0.019667,0,0.206925467,0.021671729,0,0.016758385,0.013218786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012957985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068167189,0.068167189,0,0.068167189,0,0,0.068167189,0.068167189,0.068167189,0.068167189,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148526496,0.14745434,0,0,0,0.021564328,0.068167189,0,0,0.14745434,0,0.14745434,0.14745434,0.079287151,0.002784462,0.002784462,0,0.001297904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068167189,0,0.082350839,0.068167189,0.068167189,0,Late,case,20,48,1003-01
1003-01_12,0,0,0,0,0,0,0,0,0,0,0,0,0.071227136,0.071227136,0,0,0,0,0,0,0,0,0,0,0,0.047183585,0.001683055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004987546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003379041,0,0,0,0,0,0,0,0,0,0,0,0.022593825,0.073758001,0,0,0.015583004,0,0,0,0,0,0,0,0,0.004987546,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211843456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095226043,0.087471313,0,0.047183585,0,0.346173014,0.059092442,0,0.043054912,0.003085398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032779758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017037931,0,0,0,0.003672191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071227136,0.071227136,0,0.071227136,0,0,0.071227136,0.071227136,0.071227136,0.071227136,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184863522,0.168788544,0,0,0,0.021409481,0.071227136,0,0,0.168788544,0,0.168788544,0.168788544,0.097561408,0.004081416,0.004081416,0,0.001683055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071227136,0,0.073758001,0.071227136,0.071227136,0,Late,case,21,47,1003-01
1003-01_13,0,0,0,0,0,0,0,0,0,0,0,0,0.044061136,0.044061136,0,0,0,0,0,0,0,0,0,0,0,0.035438198,0.000111359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010938725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005008747,0,0,0,0,0,0,0,0,0,0,0,0.157834742,0.045525284,0,0,0.032170195,0,0,0,0,0.006169983,0,0,0,0.010938725,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137982829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080259693,0.051431112,0,0.035438198,0,0.269622113,0.045343201,0,0.03388277,0.00652371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063337434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031658055,0,0,0,0.006036101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044061136,0.044061136,0,0.044061136,0,0,0.044061136,0.044061136,0.044061136,0.044061136,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1318903,0.096814686,0,0,0,0.046751042,0.044061136,0,0,0.096814686,0,0.096814686,0.096814686,0.05275355,0,0,0,0.000111359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044061136,0,0.045525284,0.044061136,0.044061136,0,Late,case,22,46,1003-01
1003-01_14,0,0,0,0,0,0,0,0,0,0,0,0,0.11225965,0.11225965,0,0,0,0,0,0,0,0,0,0,0,0.001333221,0.010148362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008209798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004224438,0,0,0,0,0,0,0,0,0,0,0,0.007994164,0.109034188,0,0,0.00431001,0,0,0,0,0.004745354,0,0,0,0.008209798,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25610517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010984749,0.109021125,0,0.001333221,0,0.2614622,0.001786219,0,0.001441731,0.00522182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008540353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003921003,0,0,0,0.005420785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11225965,0.11225965,0,0.11225965,0,0,0.11225965,0.11225965,0.11225965,0.11225965,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253575848,0.249804067,0,0,0,0.015553809,0.11225965,0,0,0.249804067,0,0.249804067,0.249804067,0.137544417,0,0,0,0.028952616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11225965,0,0.109034188,0.11225965,0.11225965,0,Late,case,25,43,1003-01
1003-01_15,0,0,0,0,0,0,0,0,0,0,0,0,0.069979578,0.069979578,0,0,0,0,0,0,0,0,0,0,0,0.002530862,0.000458762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003034603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000779758,0,0,0,0,0,0,0,0,0,0,0,0.056281988,0.068692968,0,0,0.042209619,0,0,0,0,0,0,0,0,0.003034603,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160505436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008128691,0.069888962,0,0.002530862,0,0.242200603,0.003476447,0,0.002563226,0.000887735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082055273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040786074,0,0,0,0.000945356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069979578,0.069979578,0,0.069979578,0,0,0.069979578,0.069979578,0.069979578,0.069979578,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201993974,0.15794221,0,0,0,0.042014318,0.069979578,0,0,0.15794221,0,0.15794221,0.15794221,0.087962632,0,0,0,0.001481489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069979578,0,0.068692968,0.069979578,0.069979578,0,Late,case,26,42,1003-01
1003-01_16,0,0,0,0,0,0,0,0,0,0,0,0,0.05884778,0.05884778,0,0,0,0,0,0,0,0,0,0,0,0.000988125,0.000285454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001721545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074193869,0.055471028,0,0,0.051222192,0,0,0,0,0,0,0,0,0.001721545,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132525064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003698222,0.059107034,0,0.000988125,0,0.22620096,0.00120974,0,0.000988552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10004564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050722914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05884778,0.05884778,0,0.05884778,0,0,0.05884778,0.05884778,0.05884778,0.05884778,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18830007,0.131536511,0,0,0,0.049383012,0.05884778,0,0,0.131536511,0,0.131536511,0.131536511,0.072688732,0,0,0,0.000978675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05884778,0,0.055471028,0.05884778,0.05884778,0,Late,case,27,41,1003-01
1003-01_17,0,0,0,0,0,0,0,0,0,0,0,0,0.073039386,0.073039386,0,0,0,0,0,0,0,0,0,0,0,0.001943895,0.00030159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003367432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050972491,0.06846706,0,0,0.041014104,0,0,0,0,0,0,0,0,0.003367432,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167947495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00711788,0.071345414,0,0.001943895,0,0.246961002,0.002235955,0,0.001806553,0.000355995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079930027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040259074,0,0,0,0.000350925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073039386,0.073039386,0,0.073039386,0,0,0.073039386,0.073039386,0.073039386,0.073039386,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209510274,0.166140942,0,0,0,0.04216263,0.073039386,0,0,0.166140942,0,0.166140942,0.166140942,0.093101556,0,0,0,0.00082325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073039386,0,0.06846706,0.073039386,0.073039386,0,Late,case,28,40,1003-01
1003-01_18,0,0,0,0,0,0,0,0,0,0,0,0,0.076342556,0.076342556,0,0,0,0,0,0,0,0,0,0,0,0.003587193,0.000333434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001424614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043076876,0.072745645,0,0,0.037613047,0,0,0,0,0,0,0,0,0.001424614,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177336923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008223759,0.077072636,0,0.003587193,0,0.252520148,0.004345547,0,0.003211952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074224148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035931122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076342556,0.076342556,0,0.076342556,0,0,0.076342556,0.076342556,0.076342556,0.076342556,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213359194,0.174124971,0,0,0,0.036707887,0.076342556,0,0,0.174124971,0,0.174124971,0.174124971,0.097782415,0,0,0,0.001128073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076342556,0,0.072745645,0.076342556,0.076342556,0,Late,case,29,39,1003-01
1003-01_19,0,0,0,0,0,0,0,0,0,0,0,0,0.053299301,0.053299301,0,0,0,0,0,0,0,0,0,0,0,0.000695894,0.000321333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064550483,0.050655251,0,0,0.055490289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124542539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001303498,0.052566443,0,0.000695894,0,0.217793922,0.000827387,0,0.000607603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104516524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052395102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053299301,0.053299301,0,0.053299301,0,0,0.053299301,0.053299301,0.053299301,0.053299301,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191839219,0.123934936,0,0,0,0.044683738,0.053299301,0,0,0.123934936,0,0.123934936,0.123934936,0.070635635,0,0,0,0.000718811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053299301,0,0.050655251,0.053299301,0.053299301,0,Late,case,30,38,1003-01
