feature,metadata,value,coef,stderr,N,N.not.0,pval,qval,Days_before_NEC_onset
DLFM04_00474.Control.TwinB.Time1_PEN_118.gene.2...1052.1447.complete,NEC_status,Control,10.8444201373142,0.0834078476338239,38,3,5.1694619475233e-10,1.90937909348848e-6,0_1
DLFM10_01674.F3_AMX_5.gene.3...1791.2351.complete,NEC_status,Control,-3.48458077265436,0.0801134147442352,38,7,1.2130639005219e-7,8.85883237066853e-5,0_1
DLFM11_03101.P08SR2_DCS_106.gene.2...398.1579.complete,NEC_status,Control,-1.4239487953968,0.0546010237986847,38,8,1.5488826683532e-6,6.21010839264437e-4,0_1
DLFM06_00674.2.B7_TET_11.gene.3...1758.2102.complete,NEC_status,Control,9.25288533152001,0.847558761271171,38,3,1.12091699057017e-4,0.0309736630042957,0_1
DLFM10_02535.F19_AMP_43.gene.1...77.838.complete,NEC_status,Control,-3.51622404926815,0.0372743201023058,41,7,9.56211819756168e-11,4.73833474087684e-8,1_2
X16128448.WP_000101737_1.1.1.acrR.acrR.mutation.2...transcriptional_regulator_AcrR,NEC_status,Control,-4.33302354108914,0.108186697884671,41,8,1.61936356758231e-8,4.73321391222775e-6,1_2
X49240901.WP_000918664_1.1.1.rpoB.rpoB.mutation.2...DNA.directed_RNA_polymerase_subunit_beta_RpoB,NEC_status,Control,6.28592468698067,0.201605957837565,41,5,7.22926163810394e-8,1.60351908144229e-5,1_2
DLFM06_00419.4.C8_AMP_19.gene.1...94.594.complete,NEC_status,Control,-1.25544955489994,0.0664936566846043,41,5,1.42624446552625e-6,2.14304732916815e-4,1_2
gb.AAC76296_1.ARO_3000656.AcrS__Escherichia_coli,NEC_status,Control,-3.1907377731038302,0.197603939522691,41,8,3.5874632041829e-6,4.51632529867133e-4,1_2
X73856581.AAZ89288_1.1.1.senB.senB..1...enterotoxin_production.related_protein_TieB,NEC_status,Control,-0.932493719494933,0.0806941024944427,41,6,2.52585491797459e-5,0.0021085003956856,1_2
X1789666.AAC76298_1.1.1.acrF.acrF.efflux.1.EFFLUX.EFFLUX.multidrug_efflux_RND_transporter_permease_subunit_AcrF,NEC_status,Control,-3.6639074643947,0.383653822357205,41,9,7.52658149514886e-5,0.00514058894492718,1_2
DLFM06_01963.1.A5_AMC_5.gene.3...772.2004.complete,NEC_status,Control,-11.1050569533853,1.25821156078665,41,10,1.1749846606398e-4,0.00720141914376338,1_2
gb.AAC73565_1.ARO_3004043.Ecol_acrA__Escherichia_coli,NEC_status,Control,-7.04601965923603,0.953343077082928,41,8,3.15103729980478e-4,0.0157484246164063,1_2
X26109869.AAN82074_1.1.1.iucB.iucB..1...N.6..hydroxylysine_O.acetyltransferase_IucB,NEC_status,Control,-1.03716696230204,0.146759325148159,41,5,4.02100719869541e-4,0.019229827034418102,1_2
X49282.CAA77936_1.1.1.SMR_efflux_emrE.SMR_efflux_emrE.efflux.1.EFFLUX.EFFLUX.multidrug_efflux_SMR_transporter_EmrE,NEC_status,Control,-5.41781008357985,0.813822368687742,41,6,5.55458683728421e-4,0.0252668608281932,1_2
X1255553.BAA06852_1.1.1.cpa.cpa..1...alpha.toxin,NEC_status,Control,78.1993033629316,12.6919139888705,41,13,8.4851493538154e-4,0.036393946307617,1_2
X489575244.WP_003479690_1.1.1.tetA.P..tetA.P..efflux.2.TETRACYCLINE.TETRACYCLINE.tetracycline_efflux_MFS_transporter_TetA.P.,NEC_status,Control,55.7556058652955,9.30626647117454,41,14,9.72294747403896e-4,0.0404578847501579,1_2
X120407514.ABM21538_1.1.1.pfoA.pfoA..1...cholesterol.dependent_cytolysin_perfringolysin_O,NEC_status,Control,45.0198746683169,7.88864546626892,41,12,0.00125247722217959,0.050120609114369,1_2
DLFM04_00329.Control.TwinB.Time2_CST_61.gene.1...15.398.complete,NEC_status,Control,7.49593864518191,1.37790043188045,41,9,0.00160259832862679,0.0604935414484892,1_2
X1061414.AAB09624_1.1.1.arsR_R46.arsR_R46..1.ARSENIC.ARSENIC.As.III..sensing_metalloregulatory_transcriptional_repressor_ArsR,NEC_status,Control,-7.64241099651029,1.56029055094161,41,10,0.00271711230532689,0.0907913136170203,1_2
X26109868.AAN82073_1.1.1.iucC.iucC..1...NIS_family_aerobactin_synthetase_IucC,NEC_status,Control,7.67855063167513,1.69693127932806,41,7,0.00399664974057572,0.122154819498699,1_2
DLFM07_02200.01G.000_CAZ_4.gene.2...230.2200.complete,NEC_status,Control,15.0646158020035,3.44023859891539,41,6,0.00467541216485473,0.137764254320221,1_2
gb.AAC75089_1.ARO_3003577.ugd__Escherichia_coli,NEC_status,Control,-6.63165570661008,1.51627413979679,41,8,0.00470184366877135,0.138265074552632,1_2
X224815203.ACN65732_1.1.1.emrD.emrD.efflux.1.EFFLUX.EFFLUX.multidrug_efflux_MFS_transporter_EmrD,NEC_status,Control,-14.792463794673,3.699831454714,41,15,0.00713713849625451,0.184931250287409,1_2
DLFM06_01043.1.H5_CHL_6.gene.4...2479.2844.complete,NEC_status,Control,-19.386128717525,4.92475349506104,41,15,0.00765570563350482,0.195935587037722,1_2
DLFM06_00385.4.C8_CHL_19.gene.1...233.1102.complete,NEC_status,Control,-16.9607818949724,4.34001994529617,41,16,0.00791268608784142,0.200311368462855,1_2
X501454800.WP_012478245_1.1.1.tetB.P..tetB.P..target_protection.2.TETRACYCLINE.TETRACYCLINE.tetracycline_resistance_ribosomal_protection_protein_TetB.P.,NEC_status,Control,66.4543128076562,17.0784752060517,41,10,0.00806728007960737,0.202901677164207,1_2
DLFM04_00348.Control.TwinB.Time2_CST_26.gene.8...4383.5573.complete,NEC_status,Control,-6.61369882834118,1.74568096934226,41,9,0.00908831428703684,0.220844334710995,1_2
DLFM10_02913.F1_AMC_22.gene.1...91.1596.complete,NEC_status,Control,-17.0845992000374,4.51000911228364,41,13,0.00909359025280569,0.220844334710995,1_2
DLFM10_01716.F7_CAZ_4.gene.2...1003.1242.complete,NEC_status,Control,-3.22142272962083,0.00102975804499987,42,7,6.35074089347845e-171,8.82678269594758e-168,2_3
DLFM02_01189.F19_SXT_4.gene.2...617.1411.complete,NEC_status,Control,0.0683711731731069,0.00102028626164467,42,2,2.23242425349872e-64,1.03426902473858e-61,2_3
DLFM04_03493.AmoxConc.TwinA.Time1_TMP_26.gene.2...772.1257.complete,NEC_status,Control,8.77502347933898,0.19526921033571,42,6,6.65001305425589e-11,2.2771957745791e-8,2_3
DLFM13_06902.CBP23SR2_FOX_23.gene.6...1820.2140.complete,NEC_status,Control,11.7192413718313,0.402317143304299,42,6,2.09018563225079e-9,5.04789750341943e-7,2_3
X0.WP_000948731_1.1.1.glpT.glpT.mutation.2...glycerol.3.phosphate_transporter_GlpT,NEC_status,Control,-6.35658751867496,0.324694716386753,42,8,4.81862622335949e-8,8.96492129177465e-6,2_3
DLFM04_00348.Control.TwinB.Time2_CST_26.gene.8...4383.5573.complete,NEC_status,Control,-9.17116755161282,1.23831838494275,42,8,7.5938330063159e-5,0.00888252902342733,2_3
DLFM10_01213.F9_PIP_8.gene.2...565.1698.complete,NEC_status,Control,0.060844660546756,0.0114607657134789,42,2,7.20564840574073e-4,0.0666559196587718,2_3
gb.AAC73565_1.ARO_3004043.Ecol_acrA__Escherichia_coli,NEC_status,Control,-6.4429972400644004,1.23831927178348,42,7,8.21579268450297e-4,0.07437653239442,2_3
DLFM04_00348.Control.TwinB.Time2_CST_26.gene.8...4383.5573.complete,NEC_status,Control,5.58121562283599,5.11433254130719e-4,41,8,5.226511854122e-14,1.21231318143566e-10,3_4
DLFM05_00032.Ecoli.LibraryA_TET_7.gene.3...2243.4015.complete,NEC_status,Control,2.05337963743989,4.85209517287783e-4,41,8,4.08667395531057e-8,1.89584519944999e-5,3_4
X1028086520.WP_063844894_1.1.1.erm.X..erm.X..target_modification.2.MACROLIDE.MACROLIDE.23S_rRNA_.adenine.2058..N.6...methyltransferase_Erm.X.,NEC_status,Control,13.4356653052168,0.387918139874002,41,5,3.89707332683961e-6,0.00122757809795448,3_4
DLFM06_02016.1.A2_CHL_19.gene.2...409.753.complete,NEC_status,Control,2.32129337290997,0.0677281619776247,41,5,4.33270669283977e-6,0.00133191579840731,3_4
X1088258.AAA98293_1.1.1.terE.terE..1.TELLURIUM.TELLURIUM.tellurium_resistance_cAMP_binding_protein_TerE,NEC_status,Control,9.1204109716949109,4.22868879208105e-4,41,7,3.91994728936447e-4,0.0465197465526207,3_4
X446733577.WP_000810833_1.1.1.erm.A..erm.A..target_modification.2.MACROLIDE.MACROLIDE.23S_rRNA_.adenine.2058..N.6...methyltransferase_Erm.A.,NEC_status,Control,46.3737383540651,6.71708261728836,41,6,9.77083556402098e-4,0.0862639686560537,3_4
X1028082228.WP_063841495_1.1.1.aph.3_..IIIa.aph.3_..IIIa.phosphotransferase.2.AMIKACIN_KANAMYCIN.AMINOGLYCOSIDE.aminoglycoside_O.phosphotransferase_APH.3_..IIIa,NEC_status,Control,42.344538862622,5.52465438473438,41,11,0.00139873145199553,0.103146338143543,3_4
DLFM06_00390.4.C8_CHL_14.gene.5...2951.3385.complete,NEC_status,Control,1.55879986503718,0.220000966361356,41,8,0.00204272881196009,0.132959759278474,3_4
gb.BAE78116_1.ARO_3003576.eptA__Escherichia_coli,NEC_status,Control,9.92072490848159,3.97223410255319e-4,41,5,0.00206663979889555,0.133494467009671,3_4
X1789396.WP_001281881_1.1.1.parC.parC.mutation.2...DNA_topoisomerase_IV_subunit_A_ParC,NEC_status,Control,21.7163568277482,3.51474463767231,41,14,0.00300227454586619,0.166528337038643,3_4
DLFM06_01729.1.C6_AMP_3.gene.7...2838.3896.complete,NEC_status,Control,37.2924771184721,3.60111561547285e-4,41,6,0.00316767364010338,0.170513065247337,3_4
X619133.CAA58530_1.1.1.pcoS.pcoS..1.COPPER.COPPER.copper_resistance_membrane_spanning_protein_PcoS,NEC_status,Control,-56.3902165680681,10.6440708566299,41,32,0.00438920494211544,0.206067001145884,3_4
gb.AAC73565_1.ARO_3004043.Ecol_acrA__Escherichia_coli,NEC_status,Control,28.4889595688732,3.19907281516821e-4,41,7,0.00467136637929848,0.213700745659524,3_4
DLFM10_01716.F7_CAZ_4.gene.2...1003.1242.complete,NEC_status,Control,7.92215556646655,3.7189259776309e-4,41,8,0.00530258059312484,0.226724535505088,3_4
