feature,metadata,value,coef,stderr,N,N.not.0,pval,qval
BLEOMYCIN,NEC_status,Control,1.05103387897306,0.606917674708596,1819,623,0.0859369902170956,0.244009526826271
COLISTIN,NEC_status,Control,-1.83842864603469,1.06292384053295,1819,899,0.0862775965865413,0.244068387886529
DLFM06_00140.5.A5_TET_20.gene.3...1723.2259.complete,NEC_status,Control,-0.698844827390713,0.260665084125051,1814,333,0.00832515980106003,0.0514139301504393
X0.WP_001181005_1.1.1.rpsJ.rpsJ.mutation.2...30S_ribosomal_protein_S10,NEC_status,Control,-1.07127993595524,0.466384424977429,1814,1284,0.0235762412823518,0.108304222115939
X1028110276.WP_063864646_1.1.1.blaSHV.16.blaSHV.hydrolase.2.CEPHALOSPORIN.BETA.LACTAM.class_A_extended.spectrum_beta.lactamase_SHV.16,NEC_status,Control,-0.611602672333729,0.274910119837294,1814,354,0.0278744941867508,0.122382303048496
X746536919.WP_039569351_1.1.1.aac.6_._Serra.aac.6_._Serra.acetyltransferase.2.AMINOGLYCOSIDE.AMINOGLYCOSIDE.aminoglycoside_6_.N.acetyltransferase,NEC_status,Control,-0.483229177459834,0.218620941134387,1814,102,0.0290791572792791,0.125722704448902
gb.BAE77933_1.ARO_3000518.CRP__Escherichia_coli,NEC_status,Control,-1.08343977089007,0.495446597716259,1814,1252,0.0310226862488725,0.131229646706952
X45170565.AAO18187_2.1.1.sdeB.sdeB.efflux.1.EFFLUX.EFFLUX.multidrug_efflux_RND_transporter_permease_subunit_SdeB,NEC_status,Control,-0.40714101001624,0.193074503964344,1814,100,0.0371775981872557,0.149135388326321
DLFM06_00140.5.A5_TET_20.gene.2...387.1685.complete,NEC_status,Control,-0.558219854047633,0.265110634721839,1814,345,0.0371940740969746,0.14917602799283
X1028105873.WP_063860896_1.1.1.blaOKP.A.1.blaOKP.A.hydrolase.2.BETA.LACTAM.BETA.LACTAM.class_A_broad.spectrum_beta.lactamase_OKP.A.1,NEC_status,Control,-0.728532427701992,0.346282142052163,1814,369,0.0373723129870615,0.149654021433929
DLFM13_03689.CBP12SR2_CHL_20.gene.3...578.1918.complete,NEC_status,Control,-0.398185234857151,0.190056143937512,1814,101,0.0383808756474426,0.152093842465367
X490283234.WP_004179093_1.1.1.pmrB.pmrB.mutation.2...two.component_system_sensor_histidine_kinase_PmrB,NEC_status,Control,-0.572467384190653,0.278240687681583,1814,348,0.041710291021155,0.16061584755546
X1105502183.WP_071846333_1.1.1.aac.6_._Serra.aac.6_._Serra.acetyltransferase.2.AMINOGLYCOSIDE.AMINOGLYCOSIDE.aminoglycoside_6_.N.acetyltransferase,NEC_status,Control,-0.36889472245739,0.179509128579732,1814,95,0.0421286708747883,0.161639767630638
DLFM10_01929.F19_CHL_2.gene.2...315.1124.complete,NEC_status,Control,-0.543883869474665,0.267741344956295,1814,341,0.0443191361156991,0.167373219573362
DLFM06_00379.4.C8_FOX_4.gene.2...200.2032.complete,NEC_status,Control,-0.493742002399995,0.251068539733323,1814,339,0.0514242851547421,0.184201384578266
X0.WP_002911442_1.1.1.lpxM.lpxM.mutation.2...lauroyl.Kdo.2..lipid_IV.A._myristoyltransferase_LpxM,NEC_status,Control,-0.453885572255384,0.231439308659966,1814,328,0.0520621085966618,0.185600035665825
DLFM06_01504.1.F2_CHL_1.gene.1...190.1221.complete,NEC_status,Control,-0.506250250927207,0.258193995487648,1814,324,0.0521052483965288,0.185725666320617
gb.EHL92831_1.ARO_3004588.Kpne_KpnG__Klebsiella_sp_,NEC_status,Control,-0.50586793429333,0.259788108671971,1814,401,0.0537224840011065,0.189337328938692
